"","Direcciones","lat","lon"
"171","PLAZA DE LA CEBADA NUM 2 MADRID",40.4113996,-3.7088668
"172","CALLE DEL CONDE DUQUE NUM 12 MADRID",40.4262211,-3.7111867
"173","CALLE DE BENJAMIN PALENCIA NUM 32 MADRID",40.39381,-3.64275
"174","CALLE DE BRAVO MURILLO NUM 77 MADRID",40.4431711,-3.7043493
"175","CALLE DE ORENSE NUM 40 MADRID",40.4555756,-3.6945186
"176","CALLE DE LA PIROTECNIA NUM 1 MADRID",40.3981242,-3.5985578
"177","PASEO DE PONTONES NUM 14 MADRID",40.4045241,-3.7170301
"178","CALLE DE BARQUILLO NUM 11 MADRID",40.420953,-3.6958368
"179","PASEO DE SANTA MARIA DE LA CABEZA NUM 1 MADRID",40.4068404,-3.6936448
"180","CALLE DE PERICLES NUM 34 MADRID",40.4089553,-3.7337504
"181","CALLE DE SANTA ENGRACIA NUM 103 MADRID",40.4370549,-3.6998687
"182","CALLE DEL GENERAL RICARDOS NUM 106 MADRID",40.3926519,-3.7253992
"183","CALLE DE EMBAJADORES NUM 4 MADRID",40.4104351,-3.7068446
"184","CALLE DEL DOCTOR FLEMING NUM 44 MADRID",40.4611188,-3.6874594
"185","CALLE DE BRAVO MURILLO NUM 64 MADRID",40.4438813,-3.7038011
"186","CALLE DE MARTINEZ IZQUIERDO NUM 5 MADRID",40.4325441,-3.671705
"187","CALLE DEL CAMPO DE MONTIEL NUM 1 MADRID",40.4990757,-3.6931911
"188","CALLE DE LUIS DE HOYOS SAINZ NUM 182 MADRID",40.4017036,-3.6289935
"189","RONDA DE ATOCHA NUM 2 MADRID",40.4076469,-3.6949571
"190","CALLE DE GOYA NUM 21 MADRID",40.4255396,-3.6863725
"191","CALLE DE COSTA RICA NUM 14 MADRID",40.458249,-3.6750014
"192","AVENIDA DE RAFAEL ALBERTI NUM 43 MADRID",40.3839757,-3.6428089
"193","PASEO DEL PRADO NUM 18 MADRID",40.4133967,-3.694118
"194","PASEO DE LA CASTELLANA NUM 174 MADRID",40.4601516,-3.6891633
"195","CALLE DEL MARQUES DE MONDEJAR NUM 18 MADRID",40.4284576,-3.6633868
"196","CALLE DE LA PRINCESA NUM 3 MADRID",40.4250332,-3.7134458
"197","PASEO DE LA DIRECCION NUM 286 MADRID",40.4695128,-3.7077801
"198","PASEO DE PONTONES NUM 22 MADRID",40.4043912,-3.7182995
"199","PLAZA DE CANOVAS DEL CASTILLO NUM 3 MADRID",40.4149307,-3.6947067
"200","CALLE  30  XC KM. 18600 MADRID",40.3917495,-3.6748806
"201","CALLE DEL ALCALDE MARTIN DE ALZAGA NUM 23 MADRID",40.4632382,-3.7158301
"202","CARRETERA DEL ZARZON NUM 6 MADRID",40.4074312,-3.7645045
"203","CALLE DE LA VIOLETERA NUM 1 MADRID",40.38277,-3.65615
"204","CALLE DE SIERRA ELVIRA NUM 35 MADRID",40.4053684,-3.6612521
"205","CALLE DE TOLEDO NUM 64 MADRID",40.4098627,-3.7096623
"206","AVENIDA DE MACHUPICHU NUM 97 MADRID",40.463004,-3.6354296
"207","CALLE DE LA VIRGEN DEL PORTILLO NUM 61 MADRID",40.4394284,-3.6465763
"208","PLAZA DE LAS DESCALZAS NUM 3 MADRID",40.418441,-3.707072
"209","CALLE  MAYOR NUM 1 MADRID",40.4163554,-3.7046297
"210","CALLE DE SANTA MARIA REINA NUM 17 MADRID",40.3700641,-3.6974696
"211","CALLE DEL PADRE CLARET NUM 19 MADRID",40.4480083,-3.6646609
"212","PLAZA DE SAN JUAN DE LA CRUZ NUM 1 MADRID",40.4409599,-3.693
"213","AVENIDA DEL DOCTOR ARCE NUM 35 MADRID",40.4478843,-3.6804881
"214","CALLE DE SINESIO DELGADO NUM 2 MADRID",40.4743818,-3.6879808
"215","PASEO DEL PRADO NUM 2 MADRID",40.4188493,-3.6939986
"216","CALLE DE BALEARES NUM 61 MADRID",40.3914213,-3.7127876
"217","CALLE DE SIERRA DE ESTRELLA NUM 8 MADRID",40.3936857,-3.6670574
"218","PLAZA DE CIBELES NUM 1 MADRID",40.41855,-3.69168
"219","AVENIDA DEL PADRE PIQUER NUM 56 MADRID",40.3913283,-3.7672255
"220","CALLE DEL MAESTRO ARBOS NUM 29 MADRID",40.3879227,-3.6953357
"221","CALLE DEL GENERAL RICARDOS NUM 179 MADRID",40.3852441,-3.7367267
"222","CARRETERA DE VILLAVERDE A VALLECAS NUM 28 MADRID",40.3545771,-3.6882408
"223","CALLE DE JOSE ABASCAL NUM 51 MADRID",40.4383378,-3.6942811
"224","CALLE DE ALCALA NUM 700 MADRID",40.44963,-3.60066
"225","CALLE DE LOS HERMANOS GARCIA NOBLEJAS NUM 2 MADRID",40.4373718,-3.6379687
"226","CALLE DE ALCALA NUM 60 MADRID",40.4204055,-3.6844594
"227","AVENIDA DE AMERICA NUM 66 MADRID",40.4433974,-3.6623144
"228","CALLE DE SERRANO NUM 52 MADRID",40.4276329,-3.6871185
"229","AVENIDA DE CANILLEJAS A VICALVARO NUM 66 MADRID",40.4312081,-3.6117628
"230","CALLE DE CAMARENA NUM 106 MADRID",40.392723,-3.7560073
"231","AVENIDA DE ENTREVIAS NUM 2 MADRID",40.3897889,-3.6723433
